"Issue Type","Issue ID","Parent ID","Epic Link","Epic Name","Summary","Priority","Story Points","Phase","Labels","PRR Refs","Description","Acceptance Criteria"
"Story","ACRME-S0708","ACRME-E07","ACRME-E07","","Validation Rule Framework (VR-1..VR-11) and governance controls","Medium","5","P1","ACRME P1","§27 VR framework; §27 Governance","As a governance owner, I want the full validation-rule framework and PlacementPolicy governance enforced, so that region-selection changes require approval and are auditable.

Depends on: ACRME-S0701","- VR-1..VR-11 implemented with the specified failure actions.
- Classification/extension changes require PlacementPolicy update + governance approval + Decision Log entry.
- Policy version referenced on every placement decision."
"Sub-task","ACRME-T070801","ACRME-S0708","ACRME-E07","","Implement remaining VR-5..VR-11 rules","Medium","","P1","ACRME P1","","",""
"Sub-task","ACRME-T070802","ACRME-S0708","ACRME-E07","","Enforce PlacementPolicy change governance + Decision Log","Medium","","P1","ACRME P1","","",""
"Epic","ACRME-E08","","","Placement Scoring & Forecasting","Placement Scoring & Forecasting","","","","ACRME","§28; §4 Scoring; R-36; R-37; R-29","Implement the corrected, clamped scoring formulas (PS_Prod/PS_NonProd/PS_DR) with demand-weighted distribution, versioned weights, and advisory forecasting.",""
"Story","ACRME-S0801","ACRME-E08","ACRME-E08","","Corrected, clamped scoring formulas with versioned weights","Highest","8","P1","ACRME P1","§28 Corrected scoring","As a placement owner, I want PS_Prod/PS_NonProd/PS_DR with clamped components and versioned weights, so that scores are bounded [0,1], replayable, and auditable.

Depends on: ACRME-S0103","- Each component clamped via Clamp(x)=max(0,min(1,x)); score in [0,1].
- Default weights (α0.30,β0.20,γ0.25,δ0.15,ε0.10) retained for pilot comparison; PS_NonProd uses revised weights.
- Weights carry a PolicyVersion; inputs + version persisted per decision."
"Sub-task","ACRME-T080101","ACRME-S0801","ACRME-E08","","Implement PS_Prod/PS_NonProd/PS_DR with clamping","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T080102","ACRME-S0801","ACRME-E08","","Externalise weights into versioned PolicyVersion","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T080103","ACRME-S0801","ACRME-E08","","Persist score inputs + policy version to OperationRecord","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0802","ACRME-E08","ACRME-E08","","Demand-weighted distribution and SKU-dimensional model","High","5","P1","ACRME P1","§28 Distribution; R-36; R-37","As a placement owner, I want distribution computed from demand units and scoring per SKU/zone, so that fairness reflects real demand, not customer count.

Depends on: ACRME-S0801","- Distribution = 1 - Region_Assigned_Demand / Total_Assigned_Demand (R-37).
- Scoring is SKU-dimensional to avoid simple-formula invalidation (R-36)."
"Sub-task","ACRME-T080201","ACRME-S0802","ACRME-E08","","Implement demand-weighted distribution signal (R-37)","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T080202","ACRME-S0802","ACRME-E08","","Make scoring SKU/zone-dimensional (R-36)","High","","P1","ACRME P1","","",""
"Story","ACRME-S0803","ACRME-E08","ACRME-E08","","Advisory forecasting with measured accuracy","Medium","5","P2","ACRME P2","§28 Forecast; R-29; ForecastError alert","As a capacity planner, I want forecast quantity recommendations that stay advisory until accuracy is measured, so that forecasts never drive unsafe automatic reduction.

Depends on: ACRME-S0801","- Forecast_Quantity = ceil(Forecast_Peak×(1+Growth_Buffer)+DR_Buffer) with 30/60/90-day horizons.
- Recommendations advisory-only; reduction never automatic (R-29).
- ForecastError alert when error exceeds policy; accuracy/false-positive tracked."
"Sub-task","ACRME-T080301","ACRME-S0803","ACRME-E08","","Implement ForecastRecord entity + forecast formula","Medium","","P2","ACRME P2","","",""
"Sub-task","ACRME-T080302","ACRME-S0803","ACRME-E08","","Keep forecast advisory; wire ForecastError alert (R-29)","Medium","","P2","ACRME P2","","",""
"Story","ACRME-S0804","ACRME-E08","ACRME-E08","","Shadow joint-optimization comparison","Medium","5","P2","ACRME P2","§4 Sequential placement; §22 Should","As a placement owner, I want the sequential method compared against a shadow joint-optimization method, so that divergence evidence is gathered before trusting either for auto-commit.

Depends on: ACRME-S0801","- Both methods run without mutating live resources; divergences measured and logged.
- Comparison report available for governance review."
"Sub-task","ACRME-T080401","ACRME-S0804","ACRME-E08","","Implement shadow joint-optimization evaluator","Medium","","P2","ACRME P2","","",""
"Sub-task","ACRME-T080402","ACRME-S0804","ACRME-E08","","Log divergences + produce comparison report","Medium","","P2","ACRME P2","","",""
"Epic","ACRME-E09","","","State Model & Concurrency Controls","State Model & Concurrency Controls","","","","ACRME","§29; G-15; B-3; B-7; R-35","Implement the engine state machine (EngineModeState) with conditional transitions and dual approval, and atomic capacity holds to prevent over-assignment. Production blocker G-15 / B-7.",""
"Story","ACRME-S0901","ACRME-E09","ACRME-E09","","Engine state machine with conditional transitions and dual approval (G-15)","Highest","13","P1","ACRME P1","§29 State machine; G-15; R-35","As a SRE, I want EngineModeState with guarded transitions, dual approval, and incident hold, so that normal and crisis operations can never illegally mix.

Depends on: ACRME-S0103","- States STEADY_STATE, DR_DECLARATION_PENDING, DR_EVENT_ACTIVE, FAILBACK_PENDING, INCIDENT_HOLD implemented.
- Transitions use conditional writes + state version; dual approval required to leave STEADY_STATE.
- Fault-injection test shows no illegal transition (closes G-15/R-35); EngineModeConflict alert wired.
- EngineModeState carries scope, mode, version, incident ID, approvers, lease owner/expiry, recovery checkpoint."
"Sub-task","ACRME-T090101","ACRME-S0901","ACRME-E09","","Model EngineModeState entity with all required fields","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T090102","ACRME-S0901","ACRME-E09","","Implement transition guards + conditional writes","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T090103","ACRME-S0901","ACRME-E09","","Implement dual-approval and incident-hold transitions","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T090104","ACRME-S0901","ACRME-E09","","Write fault-injection tests proving no illegal transition","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T090105","ACRME-S0901","ACRME-E09","","Wire EngineModeConflict alert","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S0902","ACRME-E09","ACRME-E09","","Atomic capacity holds with optimistic concurrency (B-7 / G-20)","Highest","8","P1","ACRME P1","§29 Capacity holds; B-7; R-23; G-20","As a placement engine, I want an atomic hold keyed by region/SKU/zone/env/policy before returning an assignment, so that concurrent placements cannot double-assign the same capacity.

Depends on: ACRME-S0103","- PlacementHold created before commit; expires if Azure provisioning does not begin.
- Parallel placement test produces exactly one winner (closes B-7/R-23).
- CustomerRegionAssignment linked to hold IDs (closes G-20); PlacementHoldConflict alert wired."
"Sub-task","ACRME-T090201","ACRME-S0902","ACRME-E09","","Model PlacementHold + CustomerRegionAssignment entities (G-20)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T090202","ACRME-S0902","ACRME-E09","","Implement optimistic-concurrency hold create/expire","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T090203","ACRME-S0902","ACRME-E09","","Write parallel-placement single-winner test (B-7)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T090204","ACRME-S0902","ACRME-E09","","Wire PlacementHoldConflict alert","Highest","","P1","ACRME P1","","",""
"Epic","ACRME-E10","","","DR Activation & Failback","DR Activation & Failback","","","","ACRME","§31; Runbook E; §5 DR floor; R-07; R-27; R-38","Implement guarded DR declaration, per-workload failover orchestration, engine-enforced DR floor with independent detector, and wave-based failback.",""
"Story","ACRME-S1001","ACRME-E10","ACRME-E10","","DR declaration and failover orchestration","High","8","P2","ACRME P2","§31; IncidentRecord G-21","As a DR operator, I want a guarded DR declaration that validates state then orchestrates approved failover, so that failover only runs in a validated DR_EVENT_ACTIVE mode.

Depends on: ACRME-S0901","- Declaration validates approvals + state version before entering DR_EVENT_ACTIVE.
- Quota, CR, and sharing re-validated from authoritative sources at declaration.
- Per-workload failover status tracked; IncidentRecord persisted (closes G-21).
- Declaration alone does not authorize Tier 2/Tier 3."
"Sub-task","ACRME-T100101","ACRME-S1001","ACRME-E10","","Model IncidentRecord + DRCapacityPair entities (G-21)","High","","P2","ACRME P2","","",""
"Sub-task","ACRME-T100102","ACRME-S1001","ACRME-E10","","Implement DR declaration validation + mode entry","High","","P2","ACRME P2","","",""
"Sub-task","ACRME-T100103","ACRME-S1001","ACRME-E10","","Implement per-workload failover orchestration","High","","P2","ACRME P2","","",""
"Story","ACRME-S1002","ACRME-E10","ACRME-E10","","Engine-enforced DR floor with independent detector","Highest","8","P1","ACRME P1","§5 DR floor; R-07; R-38; DRFloorViolation alert","As a SRE, I want an engine-enforced DR floor plus an independent recalculating detector, so that NonProd expansion fails closed when the floor is at risk.

Depends on: ACRME-S0901","- Independent detector recomputes the floor from assignments/allocations (R-38).
- Automatic NonProd expansion blocked on detector disagreement (fail-closed, R-07).
- DRFloorViolation alert fires when NonProd use exceeds the effective ceiling."
"Sub-task","ACRME-T100201","ACRME-S1002","ACRME-E10","","Implement primary DR-floor calculation from potential demand","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T100202","ACRME-S1002","ACRME-E10","","Implement independent detector + fail-closed block (R-07)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T100203","ACRME-S1002","ACRME-E10","","Recompute floor from assignments to avoid staleness (R-38)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T100204","ACRME-S1002","ACRME-E10","","Wire DRFloorViolation alert","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S1003","ACRME-E10","ACRME-E10","","Wave-based failback with readiness gate","High","8","P2","ACRME P2","Runbook E; R-27","As a DR operator, I want failback gated on primary readiness and executed in waves, so that failback never starts before the primary is truly ready.

Depends on: ACRME-S1001","- Readiness gate validates app/data/network/DNS/identity/capacity before failback (R-27).
- Restore in waves with health checks; DR traffic drained only after validation.
- DR floor + reservation policy recalculated; return to STEADY_STATE only after all ops close."
"Sub-task","ACRME-T100301","ACRME-S1003","ACRME-E10","","Implement failback readiness gate + approval (R-27)","High","","P2","ACRME P2","","",""
"Sub-task","ACRME-T100302","ACRME-S1003","ACRME-E10","","Implement wave-based restore + health validation","High","","P2","ACRME P2","","",""
"Sub-task","ACRME-T100303","ACRME-S1003","ACRME-E10","","Implement conservative DR deallocation + floor recalculation","High","","P2","ACRME P2","","",""
"Epic","ACRME-E11","","","Tier Escalation (Emergency Capacity)","Tier Escalation (Emergency Capacity)","","","","ACRME","§32; Runbook C; Runbook D; R-16; R-17; R-18","Implement the tiered emergency-capacity ladder: Tier 1 additive expansion (gated), Tier 2 quota-neutral transfer (disabled until proven), Tier 3 blocked in Phase 1.",""
"Story","ACRME-S1101","ACRME-E11","ACRME-E11","","Tier 1 additive emergency expansion (incident-gated)","High","8","P2","ACRME P2","§32; Runbook C; R-16","As a DR operator, I want Tier 1 expansion allowed only in DR_EVENT_ACTIVE with fresh checks, so that pre-staged headroom is used safely and never outside an incident.

Depends on: ACRME-S0901, ACRME-S0302","- Tier 1 rejected unless DR_EVENT_ACTIVE (engine-mode guard, R-16).
- Fresh quota/capacity/sharing confirmed; delta bounded by policy maximum.
- CR increase submitted with idempotency key, polled, and read back before VM deployment."
"Sub-task","ACRME-T110101","ACRME-S1101","ACRME-E11","","Implement Tier 1 engine-mode guard (R-16)","High","","P2","ACRME P2","","",""
"Sub-task","ACRME-T110102","ACRME-S1101","ACRME-E11","","Implement bounded additive expansion + read-back (Runbook C)","High","","P2","ACRME P2","","",""
"Story","ACRME-S1102","ACRME-E11","ACRME-E11","","Tier 2 quota-neutral transfer (disabled until proven)","Medium","8","P2","ACRME P2","§32; Runbook D; B-2; R-17","As a DR operator, I want Tier 2 reallocation behind a proven+approved flag with impact preview, so that NonProd guarantees are never removed unexpectedly.

Depends on: ACRME-S1101, ACRME-S0503","- Tier 2 disabled until release-and-reuse behavior is measured (B-2) and enabled by flag.
- Requires incident mode + approval + customer-impact preview (R-17).
- DR expanded only after authoritative quota headroom is visible; timeout escalates manually.
- EmergencyCapacityTransfer entity persisted (G-23) with NonProd assurance impact + restoration plan."
"Sub-task","ACRME-T110201","ACRME-S1102","ACRME-E11","","Model EmergencyCapacityTransfer entity (G-23)","Medium","","P2","ACRME P2","","",""
"Sub-task","ACRME-T110202","ACRME-S1102","ACRME-E11","","Implement Tier 2 flag + release-and-reuse gate (B-2)","Medium","","P2","ACRME P2","","",""
"Sub-task","ACRME-T110203","ACRME-S1102","ACRME-E11","","Implement impact preview + approval + manual timeout (Runbook D)","Medium","","P2","ACRME P2","","",""
"Story","ACRME-S1103","ACRME-E11","ACRME-E11","","Tier 3 disassociation blocked in Phase 1","Highest","3","P1","ACRME P1","§32; R-18; Tier3AttemptBlocked alert","As a security owner, I want Tier 3 calls rejected while disabled, so that no VM association change happens before the credential model is closed.

Depends on: ACRME-S0901","- Tier 3 request rejected while disabled; Tier3AttemptBlocked alert fires (R-18).
- Feature is disabled-by-default and requires separate board authorization to enable."
"Sub-task","ACRME-T110301","ACRME-S1103","ACRME-E11","","Implement Tier 3 disabled-by-default rejection","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T110302","ACRME-S1103","ACRME-E11","","Wire Tier3AttemptBlocked alert (R-18)","Highest","","P1","ACRME P1","","",""
"Epic","ACRME-E12","","","AKS & VMSS Integration","AKS & VMSS Integration","","","","ACRME","§33; §6 AKS/VMSS; FC-08; R-20; R-21; R-22; R-42","Validate AKS node-pool/autoscaler integration with CRGs and enforce VMSS controls, including rejecting VMSS in emergency transfers (Preview limit).",""
"Story","ACRME-S1201","ACRME-E12","ACRME-E12","","AKS node-pool and autoscaler validation","Medium","8","P2","ACRME P2","§33 AKS; R-21; R-22","As a AKS owner, I want new node pools validated against zone/SKU/sharing/quota and bounded autoscaler, so that AKS never repeatedly requests unavailable nodes or exceeds reservation.

Depends on: ACRME-S0502, ACRME-S0602","- New node pool references a CRG only after zone/SKU/sharing/provider+consumer quota checks.
- Autoscaler max bounded by validated reservation + policy over-allocation; retries bounded (R-21).
- Existing node-pool change requires a replacement-impact plan (R-22); node identity separate from ACRME identity."
"Sub-task","ACRME-T120101","ACRME-S1201","ACRME-E12","","Implement AKS node-pool pre-validation checks","Medium","","P2","ACRME P2","","",""
"Sub-task","ACRME-T120102","ACRME-S1201","ACRME-E12","","Enforce bounded autoscaler max + bounded retries (R-21)","Medium","","P2","ACRME P2","","",""
"Sub-task","ACRME-T120103","ACRME-S1201","ACRME-E12","","Require replacement-impact plan for pool updates (R-22)","Medium","","P2","ACRME P2","","",""
"Story","ACRME-S1202","ACRME-E12","ACRME-E12","","VMSS controls and emergency-transfer rejection (FC-08)","High","5","P1","ACRME P1","§33 VMSS; FC-08; R-20; R-42; VMSSEmergencyAttempt alert","As a compute owner, I want VMSS operations gated and VMSS excluded from emergency transfers, so that a Preview reprovisioning limitation cannot cause a failed DR.

Depends on: ACRME-S1103","- VMSS included in an emergency transfer is rejected; VMSSEmergencyAttempt alert fires (R-20).
- VMSS reprovisioning via shared CRG during a zone outage documented as Preview-limited (FC-08/R-42).
- Uniform/Flexible create-with-CRG allowed only after mode-specific POC proof."
"Sub-task","ACRME-T120201","ACRME-S1202","ACRME-E12","","Implement VMSS emergency-transfer rejection + alert (R-20)","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T120202","ACRME-S1202","ACRME-E12","","Encode VMSS Uniform/Flexible control matrix (Phase 1 gating)","High","","P1","ACRME P1","","",""
"Epic","ACRME-E13","","","Data Architecture & Entity Model","Data Architecture & Entity Model","","","","ACRME","§34; G-20; G-21; G-23; G-24","Establish the canonical authoritative entity model and close data-model gaps (G-20, G-21, G-23, G-24) with schema, audit, and policy versioning.",""
"Story","ACRME-S1301","ACRME-E13","ACRME-E13","","Canonical authoritative entity schema and policy versioning","High","8","P1","ACRME P1","§34 Authoritative entities","As a data owner, I want all authoritative entities modeled with a shared schema and PolicyVersion, so that engine intent is consistent, versioned, and replayable.

Depends on: ACRME-S0103","- All §34 entities have a canonical schema with IDs, timestamps, and version fields.
- PolicyVersion referenced by placement, scoring, and quota decisions.
- Schema migrations are versioned and reversible."
"Sub-task","ACRME-T130101","ACRME-S1301","ACRME-E13","","Author canonical schema for all authoritative entities","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T130102","ACRME-S1301","ACRME-E13","","Implement PolicyVersion entity + references","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T130103","ACRME-S1301","ACRME-E13","","Set up versioned, reversible migrations","High","","P1","ACRME P1","","",""
"Story","ACRME-S1302","ACRME-E13","ACRME-E13","","Append-only audit model with completeness guarantee","High","5","P1","ACRME P1","§34; R-31; §37 Audit completeness SLI","As a compliance owner, I want every accepted mutation to produce an append-only audit record, so that incidents and decisions can always be reconstructed.

Depends on: ACRME-S1301","- Append-only audit for 100% of accepted mutations (audit completeness SLI, R-31).
- OperationRecord captures before/after state, policy version, and evidence classification.
- Audit is immutable and independently queryable."
"Sub-task","ACRME-T130201","ACRME-S1302","ACRME-E13","","Implement append-only OperationRecord/audit store","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T130202","ACRME-S1302","ACRME-E13","","Instrument all mutations to emit audit records (R-31)","High","","P1","ACRME P1","","",""
"Epic","ACRME-E14","","","API Architecture","API Architecture","","","","ACRME","§35; G-23; R-34","Deliver the canonical async API: operation-resource responses, mandatory mutation metadata, dry-run for high-impact ops, and disabled-by-default emergency endpoints.",""
"Story","ACRME-S1401","ACRME-E14","ACRME-E14","","Core async endpoints returning operation resources","Highest","8","P1","ACRME P1","§35 Core endpoints","As a API consumer, I want state-changing endpoints to return an operation resource, not synchronous completion, so that callers poll for true Azure state instead of assuming completion.

Depends on: ACRME-S0101","- All §35 core endpoints implemented; mutations return an operation + polling URL.
- /placement/select-regions accepts either a specific region (Scenario 2) or a geography (Scenario 1).
- /operations/{id} returns current operation state."
"Sub-task","ACRME-T140101","ACRME-S1401","ACRME-E14","","Implement core resource endpoints (subscriptions/crgs/quota/...)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T140102","ACRME-S1401","ACRME-E14","","Implement /placement/select-regions dual-input contract","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T140103","ACRME-S1401","ACRME-E14","","Implement /operations/{id} polling resource","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S1402","ACRME-E14","ACRME-E14","","Mandatory mutation metadata and dry-run","High","5","P1","ACRME P1","§35 Every mutation","As a API consumer, I want every mutation to require idempotency key, expected version, policy version, and support dry-run, so that high-impact operations are safe, idempotent, and previewable.

Depends on: ACRME-S1401","- Mutations require idempotency key, caller identity, expected state version, policy version, incident ID where applicable.
- Dry-run supported for high-impact operations; structured precondition failures returned."
"Sub-task","ACRME-T140201","ACRME-S1402","ACRME-E14","","Enforce mandatory mutation metadata middleware","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T140202","ACRME-S1402","ACRME-E14","","Implement dry-run + structured precondition failures","High","","P1","ACRME P1","","",""
"Story","ACRME-S1403","ACRME-E14","ACRME-E14","","Emergency endpoints disabled-by-default with contract tests (G-23)","Medium","3","P1","ACRME P1","§35; G-23; G-24","As a governance owner, I want emergency-transfer/increase endpoints in the canonical API but disabled by default, so that they exist in the contract and audit model before being enabled.

Depends on: ACRME-S1401","- /capacity/emergency-transfer and /capacity/increase-requests in the canonical API + authorization matrix.
- Emergency endpoint disabled-by-default via feature flag; contract test present (G-23)."
"Sub-task","ACRME-T140301","ACRME-S1403","ACRME-E14","","Add emergency + increase endpoints to contract + authz matrix","Medium","","P1","ACRME P1","","",""
"Sub-task","ACRME-T140302","ACRME-S1403","ACRME-E14","","Flag-gate emergency endpoint + add contract test (G-23)","Medium","","P1","ACRME P1","","",""
"Epic","ACRME-E15","","","Security, RBAC & Managed Identity","Security, RBAC & Managed Identity","","","","ACRME","§36; §11; G-14; R-19; R-32","Implement split UAMIs and application roles with least privilege, and close G-14 (customer-consented, RG-scoped Tier 3 credential model) or keep Tier 3 blocked.",""
"Story","ACRME-S1501","ACRME-E15","ACRME-E15","","Split UAMIs and application roles (least privilege)","Highest","8","P1","ACRME P1","§36 RBAC matrix; R-19","As a security owner, I want the RBAC matrix realized as narrow custom roles and separated identities, so that privilege is never concentrated and duties are separated.

Depends on: ACRME-S0105","- Reader/Capacity/Sharing/Consumer-Compute/Quota UAMIs + DR/Emergency/Policy-Admin/Auditor roles created per matrix.
- Each role scoped narrowly; prohibited actions verified blocked in a least-privilege test (R-19).
- Role-assignment authority isolated from capacity/VM mutation."
"Sub-task","ACRME-T150101","ACRME-S1501","ACRME-E15","","Deploy custom role definitions per RBAC matrix","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T150102","ACRME-S1501","ACRME-E15","","Assign UAMIs at narrowest scope + application roles","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T150103","ACRME-S1501","ACRME-E15","","Write least-privilege prohibited-action tests (R-19)","Highest","","P1","ACRME P1","","",""
"Story","ACRME-S1502","ACRME-E15","ACRME-E15","","G-14 credential model for Tier 3 (customer-consented, RG-scoped)","Highest","8","P2","ACRME P2","§36 MI scope; G-14","As a security owner, I want a customer-consented UAMI with RG-scoped custom rights for exact VM association ops, so that Tier 3 can eventually be enabled without subscription-wide VM Contributor.

Depends on: ACRME-S1501","- Minimum custom action set for VM association defined + RG-scoped; no subscription-wide VM Contributor.
- Customer consent + revocation path implemented and tested in a consumer subscription (closes G-14).
- If the minimum action set cannot be established, Tier 3 stays blocked."
"Sub-task","ACRME-T150201","ACRME-S1502","ACRME-E15","","Define minimum custom VM-association action set (G-14)","Highest","","P2","ACRME P2","","",""
"Sub-task","ACRME-T150202","ACRME-S1502","ACRME-E15","","Implement customer consent + revocation flow","Highest","","P2","ACRME P2","","",""
"Sub-task","ACRME-T150203","ACRME-S1502","ACRME-E15","","Test least-privilege + revocation in consumer subscription","Highest","","P2","ACRME P2","","",""
"Story","ACRME-S1503","ACRME-E15","ACRME-E15","","Break-glass control with time-bound access and post-review","Medium","3","P1","ACRME P1","§11; R-32","As a security owner, I want break-glass access to be time-bound, alerted, and post-reviewed, so that emergency bypass cannot be silently abused.

Depends on: ACRME-S1501","- Break-glass role is time-bound and auto-expires; activation raises an alert (R-32).
- Mandatory post-use review recorded in audit."
"Sub-task","ACRME-T150301","ACRME-S1503","ACRME-E15","","Implement time-bound break-glass role + auto-expiry","Medium","","P1","ACRME P1","","",""
"Sub-task","ACRME-T150302","ACRME-S1503","ACRME-E15","","Wire activation alert + post-review record (R-32)","Medium","","P1","ACRME P1","","",""
"Epic","ACRME-E16","","","Observability, Dashboards & Alerts","Observability, Dashboards & Alerts","","","","ACRME","§37","Deliver SLI/SLO instrumentation, operational dashboards, and the full critical alert catalog so operators can see floor integrity, drift, and blocks.",""
"Story","ACRME-S1601","ACRME-E16","ACRME-E16","","SLI/SLO instrumentation","High","5","P1","ACRME P1","§37 SLI/SLO","As a SRE, I want the proposed SLIs measured against SLO targets, so that engine health is observable and reportable.

Depends on: ACRME-S0101","- Query success, mutation availability, placement latency, reconciliation age, and audit completeness measured.
- SLO targets configured with breach reporting; labeled internal (not Microsoft guarantees)."
"Sub-task","ACRME-T160101","ACRME-S1601","ACRME-E16","","Instrument SLI metrics + emit to monitoring","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T160102","ACRME-S1601","ACRME-E16","","Configure SLO targets + breach reporting","High","","P1","ACRME P1","","",""
"Story","ACRME-S1602","ACRME-E16","ACRME-E16","","Operational dashboards","High","5","P1","ACRME P1","§37 Dashboards","As a operator, I want dashboards for capacity, quota, DR floor, sharing, placement, engine mode, and failures, so that state is visible at a glance during steady state and incidents.

Depends on: ACRME-S1601","- Dashboards cover capacity, quota headroom, DR floor integrity, sharing, placement decisions, engine mode, failed ops.
- Dashboards render from live snapshots + engine state."
"Sub-task","ACRME-T160201","ACRME-S1602","ACRME-E16","","Build capacity/quota/DR-floor dashboards","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T160202","ACRME-S1602","ACRME-E16","","Build sharing/placement/engine-mode/failed-ops dashboards","High","","P1","ACRME P1","","",""
"Story","ACRME-S1603","ACRME-E16","ACRME-E16","","Critical alert catalog","Highest","5","P1","ACRME P1","§37 Alert catalog","As a SRE, I want the full alert catalog wired with severities and triggers, so that critical guardrail violations page the right responders.

Depends on: ACRME-S1601","- All catalog alerts implemented with correct severity + trigger (Engine/DRFloor/Unauthorized/Tier3/VMSS/etc).
- Critical alerts route to on-call; alert tests validate firing conditions."
"Sub-task","ACRME-T160301","ACRME-S1603","ACRME-E16","","Implement Critical alerts (EngineModeConflict, DRFloorViolation, ...)","Highest","","P1","ACRME P1","","",""
"Sub-task","ACRME-T160302","ACRME-S1603","ACRME-E16","","Implement High/Medium/Low alerts + routing + tests","Highest","","P1","ACRME P1","","",""
"Epic","ACRME-E17","","","Reconciliation & Scaling","Reconciliation & Scaling","","","","ACRME","§10; §7; R-04; R-24; R-25; R-40; FC-16","Adaptive, delta-based reconciliation that stays within API budgets at hundreds–thousands of customers, with drift handling and throttle resilience.",""
"Story","ACRME-S1701","ACRME-E17","ACRME-E17","","Adaptive delta-based reconciliation within API budgets","High","8","P1","ACRME P1","§10 Adaptive reconciliation; R-24","As a SRE, I want targeted, event-triggered reconciliation instead of naive full scans, so that reconciliation stays within API budgets at scale.

Depends on: ACRME-S0103","- Reconciliation is delta/event-triggered; full-estate short-interval scan is not used (R-24).
- Critical targeted reconciliation P95 < 2 min; stable-resource age P95 < 15 min.
- ReconciliationStale alert on age beyond policy; ARM confirmation before mutation (R-04)."
"Sub-task","ACRME-T170101","ACRME-S1701","ACRME-E17","","Implement adaptive/delta reconciliation scheduler","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T170102","ACRME-S1701","ACRME-E17","","Implement event-triggered targeted refresh","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T170103","ACRME-S1701","ACRME-E17","","Wire ReconciliationStale + ARGDiscoveryLag alerts","High","","P1","ACRME P1","","",""
"Story","ACRME-S1702","ACRME-E17","ACRME-E17","","ARM throttling resilience with per-service budgets","High","5","P1","ACRME P1","§7 FC-16; R-25; ARMThrottling alert","As a SRE, I want per-service API budgets, adaptive backoff, and a manual path, so that throttling never blocks DR actions.

Depends on: ACRME-S0104","- Per-service budgets + adaptive backoff seeded from documented throttle baselines (FC-16).
- ARMThrottling alert on retry-budget/throttle-ratio breach; documented manual path independent of engine (R-25)."
"Sub-task","ACRME-T170201","ACRME-S1702","ACRME-E17","","Implement per-service rate budgets + adaptive backoff (FC-16)","High","","P1","ACRME P1","","",""
"Sub-task","ACRME-T170202","ACRME-S1702","ACRME-E17","","Wire ARMThrottling alert + manual fallback runbook (R-25)","High","","P1","ACRME P1","","",""
"Story","ACRME-S1703","ACRME-E17","ACRME-E17","","Drift handling and maintenance mode","Medium","5","P1","ACRME P1","§10; R-40","As a operations engineer, I want maintenance mode and a clear drift policy, so that manual Azure changes are not unexpectedly reverted.

Depends on: ACRME-S1701","- Maintenance mode suppresses reconciliation-driven reversal; drift policy documented (R-40).
- Drift surfaced with a clear reconcile-or-accept decision."
"Sub-task","ACRME-T170301","ACRME-S1703","ACRME-E17","","Implement maintenance mode + drift policy (R-40)","Medium","","P1","ACRME P1","","",""
"Sub-task","ACRME-T170302","ACRME-S1703","ACRME-E17","","Implement drift surfacing + operator decision path","Medium","","P1","ACRME P1","","",""
"Story","ACRME-S1704","ACRME-E17","ACRME-E17","","Capacity-exhaustion queue and handling","Medium","5","P2","ACRME P2","Runbook A; §22 Should; CapacityExhausted alert","As a operator, I want a capacity-exhaustion queue with incident creation and re-evaluation on confirmed state, so that exhaustion is handled deterministically, not by elapsed time.

Depends on: ACRME-S0701","- On no eligible region/CR: freeze holds, rank alternatives without committing, queue + create incident (Runbook A).
- Re-evaluate only after confirmed state change; CapacityExhausted alert fires."
